,Brand,Type,Material,color,From New Season,Manufacturing country,Description,Price
5441,Chiara Ferragni,Shoulder Bags,hot pink,black,New Season,,,$288
5442,Balenciaga,Bucket Bags,,,Conscious,Made in Italy,,"$1,900"
5443,Balenciaga,Bucket Bags,,,Conscious,Made in Italy,,"$1,900"
5444,GANNI,Tote Bags,organic cotton,shocking pink,New Season,,,$210
5445,Isabel Marant,Messenger & Crossbody Bags,,,,,,$713
5446,JW Anderson,Mini Bags,sequin embellishment,cloud white,New Season,,,$268
5447,Michael Michael Kors,Tote Bags,calf leather,black/grey,New Season,,,$200
5448,Marni,Shoulder Bags,leather,red/black,,Made in Italy,,$923
5449,Stella McCartney,Tote Bags,faux-fur trim,black/white,Conscious,Made in Italy,,"$1,423"
5450,Valentino Garavani,Tote Bags,leather,black,,Made in Italy,Let's face it: a well-constructed bag goes a long way. This one from Valentino Garavani boasts the brand's signature rockstud detailing and will certainly take your style to new heights. It's a no-brainer.,"$2,798"
5451,PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,,$174
5452,Karl Lagerfeld,Tote Bags,cotton blend,beige,Conscious,,,$140
5453,Tory Burch,Messenger & Crossbody Bags,calf leather,light brown,,,,$257
5454,Furla,Tote Bags,calf leather,brown/orange,,,,$255
5455,A.P.C.,Messenger & Crossbody Bags,leather,wine,,,,$510
5456,Versace Jeans Couture,Messenger & Crossbody Bags,velour,black,,,Gunmetal toned hardware and a black velour construction infuse this Versace Jeans Couture with a modern look. The brand adds a signature branded touch with the logo-charm chain at the front.,$246
5457,MC2 Saint Barth,Tote Bags,plaid check print,olive green,,,,$143
5458,Karl Lagerfeld,Tote Bags,faux-shearling trim,black,New Season,,,$312
5459,Marc Jacobs,Messenger & Crossbody Bags,,,,,,$557
5460,ETRO,Shoulder Bags,calf leather/cotton-blend,brown,,Made in Italy,,$474
5461,Alexander McQueen,Tote Bags,logo print to the front,black,,,"Accented with a brushed-effect logo - a signature Alexander McQueen symbol - this Bundle tote bag ties in with the label’s alluring aesthetic. Presented in classic black, the accessory allows the contrasting branding to take the focus.","$1,067"
5462,Dsquared2,Messenger & Crossbody Bags,calf leather,black/gold-tone,,Made in Italy,,$707
5463,Karl Lagerfeld,Shoulder Bags,calf leather,black,,,"Arriving in a compact black-hued design, the K/Signature shoulder bag proudly carries Karl Lagerfeld's iconic signature plaque in an oversized proportion. Matching the gold-tone of this element, this bag is presented with an elegant chain-link strap.",$331
5464,Aesther Ekme,Tote Bags,calf leather,dark truffle brown,,,,$419
5465,A.P.C.,Tote Bags,,,,,,$279
5466,Furla,Messenger & Crossbody Bags,leather,brown,,,"Named after their inception in 1927, Furla reimagines classic house codes in their new line of the 1927 bag. Drawing a contrast between old and new, this iteration follows classic house codes such as the compact design and gold-tone plaque, whilst a slick textured brown leather is used for constructing this crossbody bag.",$402
5467,Alexander McQueen,Tote Bags,,,,Made in Italy,,"$2,590"
5468,STAND STUDIO,Shoulder Bags,cotton,light brown,,,,$340
5469,Mansur Gavriel,Messenger & Crossbody Bags,calf leather,caramel brown,,Made in Italy,"Mansur Gavriel is known for its exquisite leather accessories. This is finely demonstrated by this crossbody bag from the label's AW22 collection. Imagined in a caramel brown hue, this leather design is defined by a contemporary curved silhouette.",$634
5470,Karl Lagerfeld,Tote Bags,calf suede,lilac purple,New Season,,,$367
5471,KHAITE,Shoulder Bags,suede,coffee brown,,Made in Italy,"KHAITE's The Remi Hobo bag is presented here in a coffee-brown iteration. Crafted in Italy, this suede accessory features an elongated silhouette with an articulated top handle.","$1,453"
5472,Karl Lagerfeld,Tote Bags,leather,black,New Season,,,$309
5473,Saint Laurent,Messenger & Crossbody Bags,calf leather and fabric-blend,burgundy-red,,Made in Italy,"Hunting for that perfect finishing touch? Pair this Envelope crossbody bag from Saint Laurent with any look for an instant style boost. Punctuated by the brand's signature YSL logo plaque, you'll be attracting attention from all angles. Consider it your new favourite companion.","$2,950"
5474,Love Moschino,Tote Bags,,,,,,$120
5475,Alexander McQueen,Messenger & Crossbody Bags,leather,pale yellow,,Made in Italy,,$495
5476,Coach,Shoulder Bags,leather,ivory,,,"This tote bag from Coach features a gold-tone hardware plaque at the side of the design, representing the house's C initial. Paired with the tonal colourway of the accessory and a single shoulder strap, it highlights the brand's sophisticated design style. ",$496
5477,Tory Burch,Tote Bags,calf leather,light brown,New Season,,"Named after the fearless and unique American socialite, Lee Radziwill, this distinct tote bag from Tory Burch is characterised by a soft, layered design that is secured with a signature lock and key. This season it appears iterated in a woven design.","$1,347"
5478,Coach,Tote Bags,calf leather blend,turquoise blue-green,,,,$341
5479,Michael Michael Kors,Shoulder Bags,monogram print,brown,New Season,,,$210
5480,Versace,Keychains & Keyrings,Medusa-head motif,yellow,,Made in Italy,Add some signature Versace to your favourite accessory with the help of this pink Medusa pendant keyring. Simply clip onto your bag of choice or even onto one of your belt loops for an instant upgrade.,$130
5481,Lancel,Shoulder Bags,calf leather,violet purple,,Made in Italy,,$302
5482,A.P.C.,Shoulder Bags,leather/cotton,chestnut brown,New Season,,,$582
5483,Karl Lagerfeld,Shoulder Bags,two braided shoulder straps,desert beige,,,,$221
5484,LOEWE,Tote Bags,calf leather,forest green,,,,"$2,905"
5485,EÉRA,Tote Bags,,,,,,$587
5486,Balmain,Mini Bags,,,,Made in Italy,,"$1,036"
5487,Furla,Tote Bags,leather,forest green/black,,,,$251
5488,Love Moschino,Shoulder Bags,quilted,bright red,,,,$129
5489,Michael Michael Kors,Shoulder Bags,bubblegum pink,leather,,,,$210
5490,Coccinelle,Shoulder Bags,calf leather,grey,,,,$326
5491,Tommy Hilfiger,Tote Bags,faux leather,navy blue,,,,$185
5492,Coccinelle,Tote Bags,calf leather,black,,Made in Italy,,$297
5493,Furla,Tote Bags,leather,white,,,"Named after their inception in 1927, Furla reimagines classic house codes in their new line of the 1927 bag. Drawing a contrast between old and new, this iteration follows classic house codes such as the compact design and gold-tone plaque, whilst light-blue leather is used for constructing this top-handle bag.",$582
5494,See by Chloé,Clutch Bags,calf leather,black,,,,$374
5495,Elisabetta Franchi,Shoulder Bags,faux leather,gold-tone,New Season,,,$336
5496,Chiara Ferragni,Shoulder Bags,stud detailing,black,,,"Chiara Ferragni's signature eye motif is featured across this bag. The symbol is elevated by pink studding, lending to a playful feel.",$227
5497,Coccinelle,Shoulder Bags,calf leather,dark brown,,,,$237
5498,Mulberry,Messenger & Crossbody Bags,leather,apple green,,Made in United Kingdom,"Considered a Mulberry icon, the Lily crossbody bag showcases the brand's expert leather craftsmanship. In an apple green hue, the classic design is finished with the brand's signature silver-tone Keystone Lock.",$945
5499,Saint Laurent,Shoulder Bags,leather,dusty grey,,Made in Italy,"One of Saint Laurent's newer bag models, the Manhattan bag continues the brand's design style of sleek simplicity. Featuring an engraved logo to the front and a tonal colourway, a contemporary sense of minimalism is created.","$3,300"
5500,Saint Laurent,Shoulder Bags,calf leather,bordeaux red,,Made in Italy,,"$3,300"
5501,Valentino Garavani,Tote Bags,,,,Made in Italy,,"$3,237"
5502,Alexander Wang,Belt Bags,calf leather,black,New Season,,,$839
5503,Michael Michael Kors,Messenger & Crossbody Bags,leather,brown,,,,$330
5504,Jil Sander,Shoulder Bags,,,,Made in Italy,,"$1,068"
5505,Jacquemus,Tote Bags,calf leather,yellow,New Season,Made in Italy,"A signature of French brand Jacquemus, the Le Chiquito Moyen tote bag is instantly recognisable with its compact silhouette and curved top handle. This dark yellow iteration is constructed from smooth leather and adorned with the usual golden logo plaque on the front corner.",$731
5506,Valentino Garavani,Bucket Bags,calf leather,black,,Made in Italy,"Rockstud detailing has been a staple of Valentino Garavani's collections since it debuted in 2010, the now iconic pyramid studs epitomising the Italian fashion house’s edgy approach to enduring style.","$1,781"
5507,SANDRO,Messenger & Crossbody Bags,leather,black,Conscious,,,$360
5508,Tory Burch,Messenger & Crossbody Bags,leather,cognac brown,,,"Known for using its serif T plaque as an identifier on each of its product, Tory Burch's Miller crossbody bag is detailed with the gold-tone motif to the front. Crafted from cognac-hued leather, the compact accessory is suspended from a slim, adjustable shoulder strap.",$340
5509,Balmain,Shoulder Bags,leather,brown/beige,New Season,Made in Italy,"Balmain's B-Army shoulder bag is defined by its rectangle shape-silhouette and tan-brown leather trim. A recognisable design, it is printed with a black logo on beige canvas to the front.","$1,036"
5510,Versace,Tote Bags,leather,white,,Made in Italy,"A mainstay for the brand, Versace's Medusa Head motif appears on a multitude of items year after year, as seen on this white leather tote bag. Detailed with a statement plaque of the infamous gorgon, gold-tone hardware ensures Italian refinery.","$1,918"
5511,Zadig&Voltaire,Shoulder Bags,leather,black,Conscious,Made in Italy,,$595
5512,Isabel Marant,Shoulder Bags,calf leather,camel brown,,,,$662
5513,Karl Lagerfeld,Tote Bags,calf leather,black,Conscious,,,$446
5514,Karl Lagerfeld,Shoulder Bags,artificial leather,black,New Season,,,$275
5515,Dolce & Gabbana,Messenger & Crossbody Bags,calf leather ,Poppy red ,,Made in Italy,"You were yet to find your perfect crossbody bag, until now. Made from poppy red calf leather, this Dolce & Gabbana DG bag is decorated with a baroque-style logo plaque on the front. More is more.","$1,327"
5516,Tory Burch,Shoulder Bags,,,,,,$517
5517,Furla,Shoulder Bags,calf leather/cotton,purple,New Season,,,$390
5518,Proenza Schouler White Label,Mini Bags,calf leather,black,,,"Showcasing Proenza Schouler White Label's impeccable attention to detail, this flap bag is named after its partitioned compartment with an accordion design. The accessory is finished with contrast topstitching to highlight its structured silhouette.",$318
5519,Furla,Tote Bags,calf leather,black,,Made in Italy,,$475
5520,Karl Lagerfeld,Shoulder Bags,leather,black,,,,$274
5521,Philipp Plein,Shoulder Bags,calf leather,jet black,,Made in Italy,,"$1,203"
5522,Balenciaga,Clutch Bags,calf leather,candy pink,Conscious,Made in Italy,"Defined by its curved base and structured silhouette, this Hourglass chain wallet from Balenciaga is crafted from crocodile-embossed leather. A silver-tone B logo plaque completes the accessory.","$1,500"
5523,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$1,590"
5524,Alexander Wang,Mini Bags,cotton,blue,New Season,Made in Italy,,$565
5525,Proenza Schouler,Messenger & Crossbody Bags,calf suede,brown,,Made in Italy,,$990
5526,Versace,Messenger & Crossbody Bags,,,New Season,Made in Italy,"Inspired by Greek mythology, Versace's use of the Medusa head is now synonymous to the brand. Featured at the front of this crossbody bag in gold-tone hardware, it symbolises the brand's opulent style and the ancient figure's power, strength and beauty.",$884
5527,Alexander McQueen,Tote Bags,,,,Made in Italy,,"$1,430"
5528,JW Anderson,Tote Bags,recycled polyester/calfskin,grey,New Season,,JW Anderson adds its signature branding to this spacious silhouette. This tote bag is embroidered with the iconic initials anchor logo for a branded finish.,$491
5529,Stella McCartney,Tote Bags,faux leather,amethyst purple,Conscious,Made in Italy,Stella McCartney's Falabella bag has been updated in several guises since its debut in 2010. This mini tote iteration is crafted from faux leather in an amethyst hue and is trimmed with the signature whipstitched chain-link detailing in a polished silver-tone finish.,$892
5530,Tory Burch,Tote Bags,lambs wool/calf leather,coy pink/brown,New Season,,,$381
5531,Tory Burch,Shoulder Bags,leather,new cream,,Made in United States,,"$1,013"
5532,Marni,Tote Bags,cotton blend/calf leather,black/beige,,Made in Italy,"Presented in a woven raffia design, Marni's small Tropicalia tote bag is decorated with the brand's logo embroidered to the front. The piece features two rounded top handles and a shoulder strap for added practicality.",$597
5533,Tory Burch,Messenger & Crossbody Bags,lambskin,jet black,,,,$546
5534,Proenza Schouler,Messenger & Crossbody Bags,calf suede,olive green,,Made in Italy,"Launched in 2008, the PS1 has earned its status as Proenza Schouler's signature silhouette. The satchel design has been reimagined through the years, appearing here in its compact mini iteration, crafted from olive-green suede.",$990
5535,PINKO,Shoulder Bags,calf leather,ivory white,New Season,,,$354
5536,Marc Jacobs,Tote Bags,calf leather,ecru/black,New Season,,"A choice for everyday wear is this leather iteration of The Colourblock Tote Bag from Marc Jacobs. Updated in a versatile two-tone colourway, it's made from pebbled leather detailed with logo lettering at the front.",$747
5537,Proenza Schouler,Messenger & Crossbody Bags,calf leather,light grey,New Season,Made in Italy,,$990
5538,Zadig&Voltaire,Shoulder Bags,calf leather/cotton,gold-tone,New Season,Made in Italy,,$542
5539,Alexander Wang,Tote Bags,cotton,indigo blue,New Season,Made in Italy,,$680
5540,Michael Michael Kors,Messenger & Crossbody Bags,leather,camel-tone,,,,$269
5541,Tory Burch,Messenger & Crossbody Bags,calf leather,beige,New Season,,"Crafted from supple leather, Tory Burch's small Fleming crossbody bag is presented as part of the label's SS23 collection. Boasting the brand's signature Double T motif at the top of the front flap, this versatile piece is enhanced by tonal pintuck detailing and a large tassel detail.",$683
5542,Acne Studios,Tote Bags,calf leather,beige,New Season,Made in Italy,,"$1,287"
5543,A.P.C.,Shoulder Bags,calf leather,brown,,,"A.P.C stands for Atelier de Production et de Création, a brand known for creating casual and timeless styles. Like this Grace small bag, made in chestnut brown striped canvas and leather.",$499
5544,PINKO,Shoulder Bags,calf leather,black,New Season,,"Crafted from smooth calf leather in a chevron quilted design, this Pinko Love shoulder bag embodies the brand's sleek style. With a fold-over top, it is embellished with the signature Love Birds buckle.",$414
5545,Balmain,Messenger & Crossbody Bags,cotton,grey/black,New Season,Made in Italy,,"$1,036"
5546,Balmain,Messenger & Crossbody Bags,cotton,grey/black,New Season,Made in Italy,,"$1,036"
5547,Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,pink,New Season,Made in Italy,,$940
5548,SANDRO,Shoulder Bags,,,,,,$323
5549,ATP Atelier,Tote Bags,,,Conscious,Made in Italy,,$386
5550,Diesel,Shoulder Bags,cotton blend,light blue,New Season,,Diesel displays its denim expertise in an unlikely form with this shoulder bag. The charming accessory is presented in a light blue denim construction and features the brand’s classic logo detail for a branded finish.,$294
5551,Balmain,Tote Bags,calf leather,black,New Season,Made in Italy,"For SS23, Balmain introduces new elements to the B-Buzz bag collection. Adorned with the signature 'B' motif on the front, this iteration is defined by its classic black colourway.","$1,996"
5552,Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,pink,,Made in Italy,"Presented in a bold all-pink design, this Dolce & Gabbana handbag is embossed with an oversized DG logo on the front, lending the accessory an impactful branded look.",$940
5553,Gucci,Tote Bags,leather,brown,,Made in Italy,"Gucci uses signature elements of the brand on this tote bag design, such as a gold-tone logo plaque at the front, all-over GG monogram and signature Web-Stripe trim. Paired with a polished-finish leather trim, it adds a sophisticated edge to a timeless accessory. ","$1,515"
5554,Stella McCartney,Messenger & Crossbody Bags,faux leather,blush pink,Conscious,Made in Italy,"Stella McCartney applies its signature perforated logo detail onto a new silhouette every season. Crafted from the brand's signature eco-conscious faux leather, this Stella Logo crossbody bag presents the hallmark design on a blush pink base. A branded adjustable shoulder strap completes the accessory.",$659
5555,Balmain,Shoulder Bags,calf leather,black/white,New Season,Made in Italy,,"$3,230"
5556,Philipp Plein,Shoulder Bags,calf leather,black,,Made in Italy,,"$1,772"
5557,AMI Paris,Shoulder Bags,leather,cognac brown,,,"Bold in print, AMI Paris' shoulder bag boasts a contemporary silhouette with two flat top handles, whilst it's adorned by the brand's new season python print in supple leather.",$556
5558,Kara,Shoulder Bags,,,,,,$228
5559,Bimba y Lola,Shoulder Bags,calf leather,black,,,,$211
5560,Jacquemus,Shoulder Bags,calf leather,light yellow,,Made in Italy,"A larger iteration of one of their signature styles, Jacquemus' Le Bambino amplifies the brand's penchant for minimal, structured handbags. Crafted from calf leather with a single shoulder strap, the design is adorned with gold-tone logo lettering to the front.",$872
5561,Stella McCartney,Tote Bags,panelled design,black/cream,Conscious,Made in Italy,"Detailed with the iconic chain-link trim, this Stella McCartney tote bag is defined by its panelled design and faux-shearling detailing. In a black and cream colourway, this bag comes in a large size and ready to complete every look.","$1,357"
5562,Ferragamo,Shoulder Bags,calf leather,dark red,,Made in Italy,"Ferragamo presents a new iteration of their Trifolio bag for SS22. Crafted in matte leather with a dark-red hue, this bag combines the structured shape of a bucket bag with the design of a shoulder bag. A signature Gancini buckle in polished gold-tone finishes the design.","$1,199"
5563,Philipp Plein,Shoulder Bags,leather,beige,,Made in Italy,,"$1,487"
5564,Proenza Schouler,Messenger & Crossbody Bags,lambskin,oxblood red,New Season,Made in Italy,"Launched in 2008, the PS1 bag became Proenza Schouler's defining handbag silhouette. The satchel design is inspired by traditional workwear acessories, showcasing how the brand elevates functional designs with its modern aesthetic.","$1,595"
5565,Philipp Plein,Shoulder Bags,calf leather,jet black,,Made in Italy,,"$1,080"
5566,ETRO,Tote Bags,calf leather-cotton blend,auburn brown,,Made in Italy,,"$1,316"
5567,Philipp Plein,Shoulder Bags,leather,light beige,,Made in Italy,,"$1,772"
5568,Valentino Garavani,Shoulder Bags,nappa leather,ivory white,,Made in Italy,"Introduced for SS22, Valentino Garavani's One Stud bag is defined by its envelope silhouette and statement Rockstud embellishment at the front, an iconic house motif. Crafted from soft leather in Italy, this accessory can be worn across the body or at the shoulder thanks to its adjustable chain-link strap.","$3,434"
5569,Furla,Tote Bags,leather,black,New Season,,,$474
5570,Stella McCartney,Shoulder Bags,,,Conscious,Made in Italy,"Stella McCartney updates its signature diamond-cut chain detailing each season, refreshing the classic trim for new silhouettes. Crafted from the brand's faux leather, this medium Frayme flap shoulder bag is embellished with the chunky gold and silver-tone chain, interwoven with the trademark whipstitch detailing.","$1,193"
5571,Marc Jacobs,Bucket Bags,calf leather,purple,New Season,,"Marc Jacobs' straight-talking bag collection often features the style name as a bold detail reflective of the brand's confident character. This The Bucket Bag is no exception, crafted in the conventional drawstring silhouette with the definitive branding debossed to the front.",$528
5572,PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,"PINKO's signature bag silhouette, the Love, is defined by the large Love Bird buckle on the front. The brand's iconic motif stands as a symbol of 'love and freedom, strength and light' that define the label's aesthetic.",$558
5573,Stella McCartney,Shoulder Bags,faux leather,light grey,New Season,Made in Italy,"Stella McCartney applies its signature perforated logo detail onto a new silhouette every season. Crafted from the brand's signature faux leather, this Stella Logo shoulder bag presents the hallmark design on an amethyste-hued base. A branded, adjustable shoulder strap completes the accessory.",$869
5574,Saint Laurent,Messenger & Crossbody Bags,calf leather,rose pink,,Made in Italy,,"$2,850"
5575,Marc Jacobs,Messenger & Crossbody Bags,leather,black,,,"Marc Jacobs' The Snapshot is included in the brand's SS22 collection in an all-black iteration, crafted from soft leather and finished with an embossed crocodile effect. Adorned with a signature logo plaque at the front, this small accessory is finished with refined silver-tone hardware and can be worn across the body or at the shoulder thanks to its adjustable strap.",$528
5576,Coperni,Tote Bags,leather,burnt orange,,Made in Italy,,$659
5577,Acne Studios,Shoulder Bags,calf leather,camel brown,New Season,Made in Italy,,"$1,158"
5578,Michael Michael Kors,Shoulder Bags,calf leather/cotton,brown,New Season,Made in Italy,,$354
5579,Marc Jacobs,Tote Bags,calf leather,cool grey,New Season,,"Finished with branded embossing, this Marc Jacobs tote bad is finished with a textured rope handle and drawstring are fastening. It can be styled with the detachable crossbody strap for handsfree functionality. ",$605
5580,Tory Burch,Messenger & Crossbody Bags,quilted,olive green,,,Tory Burch's Kira bag is part of the beloved collection of the same name. This olive green-hued iteration is minimally detailed with the brand's Double T logo plaque at the centre.,$589
5581,Saint Laurent,Shoulder Bags,velvet,teal green,,Made in Italy,,"$2,850"
5582,Palm Angels,Shoulder Bags,canvas/leather,black/white,New Season,Made in Italy,"Inspired by an athleisure aesthetic, this Venice Track bag is detailed with track stripes, complemented with the brand's distinctive logo lettering on the front.",$462
5583,BY FAR,Shoulder Bags,leather,cream,,,"Named after hit show Friends' Rachel Green, BY FAR's Rachel bag is inspired by classic 90s silhouettes and crafted from smooth leather in Italy. Featuring an adjustable shoulder strap, this versatile accessory is finished with refined silver-tone hardware and fastens at the top with a zip.",$432
5584,Wandler,Tote Bags,calf leather,black,Conscious,Made in Italy,,$692
5585,Dolce & Gabbana,Shoulder Bags,lambskin,pink,,Made in Italy,"Dolce & Gabbana are the height of romanticism, as expressed through their trademark sacred heart motif that appears emblazoned across ready-to-wear and accessories for countless seasons. This versatile Devotion shoulder bag features the iconic motif at the centre of the bag for an instantly recognisable appeal. ","$1,936"
5586,Marc Jacobs,Bucket Bags,calf leather,bright red,,,,$620
5587,Thom Browne,Tote Bags,straw/calf leather,beige,,Made in Italy,"Thom Browne became widely recognized for creating classic women's clothes and timeless accessories. A fine example of the latter, is this straw tote bag, in a versatile beige colourway and detailed with the iconic RWB-stripe embroidered all over it. ",$494
5588,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$3,500"
5589,Proenza Schouler,Messenger & Crossbody Bags,calf leather,forest green,,Made in Italy,"Proenza Schouler’s Dia Day bag is presented in a forest-green construction for AW22. Trimmed with gold-tone hardware, the accessory showcases a structured shape that opens up to a functional partitioned interior.",$609
5590,Tory Burch,Messenger & Crossbody Bags,chevron quilting,black,New Season,,"Tory Burch excels in understated chic and succeeds in creating stylish pieces that transcend seasonal trends, as evidenced by this Kira chevron small camera bag.",$473
5591,Michael Michael Kors,Tote Bags,calf leather,black,,,,$393
5592,Jacquemus,Tote Bags,calf suede,purple,New Season,Made in Italy,,$699
5593,Balenciaga,Tote Bags,,,Conscious,,,$885
5594,DKNY,Messenger & Crossbody Bags,monogram pattern,black,New Season,,,$187
5595,PINKO,Tote Bags,calf leather,black,New Season,,,$450
5596,JW Anderson,Tote Bags,embroidered logo to the front,black,Conscious,,"A signature JW Anderson style, the aptly-named Belt tote is given a unique look thanks to the belt-effect top handle. This quirky detail is complemented by the bold embroidered logo at the front.",$488
5597,PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,"PINKO's Aika bag is crafted with panels that mirror the look of ribbon. This black iteration showcases this unique formation, which takes inspiration from Japanese obi belts. ",$390
5598,Ferragamo,Mini Bags,calf leather,black,New Season,Made in Italy,"Made in Italy from hammered calfskin leather for a textured finish, this black iteration of the Gancini mini bag is defined by a recognisable plaque at the centre evocative of Ferragamo's heritage. Its adjustable strap allows it to be worn across the body, on the shoulder or handheld.","$1,073"
5599,Acne Studios,Shoulder Bags,calf leather,beige,New Season,Made in Italy,,"$1,755"
5600,Marc Jacobs,Tote Bags,leather,bordeaux red,New Season,,"A smaller iteration of the brand's iconic The Tote silhouette, this deep bordeaux bag is crafted from smooth leather and elevated with an embossed crocodile effect as a nod to Marc Jacobs' play with colour and texture for SS23. ",$665
5601,Ferragamo,Mini Bags,calf leather,black,New Season,Made in Italy,"Made in Italy from hammered calfskin leather for a textured finish, this black iteration of the Gancini mini bag is defined by a recognisable plaque at the centre evocative of Ferragamo's heritage. Its adjustable strap allows it to be worn across the body, on the shoulder or handheld.","$1,073"
5602,Acne Studios,Shoulder Bags,calf leather,beige,New Season,Made in Italy,,"$1,755"
5603,Marc Jacobs,Tote Bags,leather,bordeaux red,New Season,,"A smaller iteration of the brand's iconic The Tote silhouette, this deep bordeaux bag is crafted from smooth leather and elevated with an embossed crocodile effect as a nod to Marc Jacobs' play with colour and texture for SS23. ",$665
5604,BY FAR,Shoulder Bags,leather/cotton,black,,,"By Far's shoulder bag reinforces the brand's minimalist design aesthetic. Free from decoration save for understated silver-tone hardware, it's made of glossy patent-leather in an understated black hue.",$456
5605,Furla,Tote Bags,leather,cognac brown,New Season,,"Crafted from pebbled leather, this large Primula tote bag from Furla features soft lines and the signature Arch logo in a moon gold-tone finish. A bright yellow lining completes the design.",$474
5606,Dolce & Gabbana,Messenger & Crossbody Bags,,,,Made in Italy,,"$1,217"
5607,Michael Michael Kors,Shoulder Bags,gold-tone hardware,black ,,,,$354
5608,Saint Laurent,Shoulder Bags,lambskin,deep pink,,,,"$2,542"
5609,PINKO,Messenger & Crossbody Bags,,,,,,$495
5610,Versace,Messenger & Crossbody Bags,calf leather,black/versace gold-tone,New Season,Made in Italy,"Versace's DNA includes the Medusa emblem, which can be seen on the doors of the company's initial offices in Milan. This La Medusa crossbody bag is crafted from soft calf leather and embellished with a gold-tone rendition of the brand's iconic Medusa emblem.","$1,175"
5611,Tory Burch,Shoulder Bags,leather,black,,,"Designed in a diminuitive size, Tory Burch's signature Fleming style makes a comeback for the SS22 collection. Presented in black hued leather, the versatile accessory is suspended from a chain link shoulder strap.",$546
5612,Alexander McQueen,Clutch Bags,leather,black,,Made in Italy,In a rush? Just dont forget to grab and go out the door with this croc effect envelope clutch bag from Alexander McQueen under your arm. This way you'll never get caught out whilst busying around town.,$540
5613,DKNY,Bucket Bags,calf leather ,black ,New Season,,,$264
5614,Maison Margiela,Tote Bags,,,New Season,Made in Italy,,"$1,820"
5615,Saint Laurent,Tote Bags,leather,black,,Made in Italy,"Saint Laurent's College style tote is updated with swishy fringing that gives it a bohemian feel. Crafted from supple black suede, the iconic silver-tone YSL plaque is accentuated against the dark background.","$2,750"
5616,Acne Studios,Shoulder Bags,calf leather,dark grey,,Made in Italy,"Based in Stockholm, Acne Studios offers an artistic approach to style - based around materials and attention to detail. The construction of this shoulder bag is kept simple, allowing for the knotted strap and logo print to take the focus.",$421
5617,PINKO,Shoulder Bags,sheepskin,rose pink,,,"First launched in 2016, Pinko's signature Love Bag has since been reimagined and reinvented with new shapes and constructions. Quilted with a diagonal pattern, this shoulder bag is finished with antique-gold toned hardware and the brand's iconic Love Bird buckle - a distinguishing feature since the bag's inception.",$646
5618,Tory Burch,Tote Bags,leather,white,,,,$465
5619,Tory Burch,Shoulder Bags,calf leather,black,,,,$749
5620,Balenciaga,Shoulder Bags,lambskin,red,New Season,Made in Italy,"An iconic silhouette, Balenciaga's Le Cagole bag is instantly recognisable. It's evocative of the maison's love of '00s design thanks to gathered detailing and stud embellishments.","$2,100"
5621,Alexander McQueen,Mini Bags,calf leather,black,New Season,Made in Italy,,"$2,590"
5622,A.P.C.,Messenger & Crossbody Bags,calf leather,noisette brown,New Season,,"A.P.C's Grace shoulder bag returns this AW22 in a brown iteration. Showcasing the same signature features as in past seasons, this accessory features a boxy shape punctuated with gold-tone hardware and secures belongings with a foldover top and clasp fastening.",$677
5623,Coach,Messenger & Crossbody Bags,lambskin,brown,,,"The Pillow Madison bag from Coach is a timeless addition from the brand. It utilises the latest quilted panelling, found throughout each collection. ",$328
5624,Gucci,Tote Bags,leather,black,New Season,Made in Italy,"Crafted from supple black-hued leather, this mini tote bag from Gucci takes a less subtle approach to its logomania aesthetic. Adorned with the brand's iconic GG logo plaque to the front, the piece is complete with all-over logo embroidered detailing.","$2,860"
5625,Jacquemus,Tote Bags,calf leather,light blue,New Season,,,$788
5626,Valentino Garavani,Mini Bags,lambskin,gea green,,Made in Italy,"Valentino Garavani is renowned for its exquisite craftsmanship, refined designs and rebellious undertones, as echoed in the masterful construction of this leather mini bag. Presented in a rich green hue, it's decorated with the brand's iconic maxi stud embellishment for a signature defiant finish.","$1,399"
5627,Saint Laurent,Clutch Bags,,,,Made in Italy,,$845
5628,Stella McCartney,Shoulder Bags,chain-link trim,black,Conscious,Made in Italy,"Stella McCartney introduces the Frayme shoulder bag for SS22, defined by its chain-link trim in both gold and silver tones. Designed for a saddle silhouette, this understated yet refined accessory is complete with an adjustable shoulder strap and an engraved logo charm at the side, one of the brand's signature motifs.","$1,028"
5629,BY FAR,Shoulder Bags,leather,cream,,,"Homaging the '90s style, BY FAR's iconic Rachel bag, is defined by its timeless silhouette and crocodile-effect body. Seen here, in a cream hue, this iteration is downsized into a mini-version for SS22.",$342
5630,Balenciaga,Messenger & Crossbody Bags,logo print to the front,beige,New Season,Made in Italy,"Modern and minimalist, this shoulder bag effortlessly reflects Balenciaga's key design style. This is seen through understated details such as a logo print at the front of the design in a contrasting colourway. ",$805
5631,JW Anderson,Shoulder Bags,,,,,"JW Anderson presents The Bumper-15 leather shoulder bag. Defined by its prominent rounded edge, this sleek accessory is a testament to the label's commitment to creating modern accessories with a playful twist.",$816
